EVTERM;Start
24.01.2020;5.5
20.02.2020;8.25
20.02.2020;8.916666667
03.04.2020;9.583333334
07.02.2020;37.88333333
26.01.2020;61.55
30.01.2020;64.11666667
05.02.2020;71.02083334
04.03.2020;77.31250001
15.01.2020;83.31250001
23.01.2020;84.14250001
27.01.2020;90.72916667
04.03.2020;101.7041667
16.07.2020;112.6791667
29.01.2020;113.1458333
07.02.2020;113.9791667
19.02.2020;114.7791667
20.02.2020;117.5291667
19.01.2020;120.0963542
09.01.2020;120.6796875
28.01.2020;123.0963542
23.01.2020;133.9796875
27.01.2020;139.0796875
06.01.2020;140.7463542
06.01.2020;143.7463542
10.02.2020;145.4130208
14.02.2020;148.4130208
05.03.2020;150.0796875
09.03.2020;153.0796875
25.03.2020;154.7463542
02.04.2020;157.7463542
20.04.2020;159.4130208
21.04.2020;162.4130208
01.01.2020;174.9880208
17.01.2020;177.9880208
07.02.2020;194.9880208
12.02.2020;197.9880208
07.01.2020;214.9880208
10.01.2020;217.9880208
07.01.2020;220.9880208
01.02.2020;237.9880208
05.02.2020;240.9880208
01.01.2020;278.1546875
08.01.2020;282.0713542
31.12.2019;311.9046875
03.01.2020;315.0880208
10.01.2020;318.4546875
03.02.2020;350.1213542
19.02.2020;353.4880208
14.01.2020;373.3046875
31.01.2020;376.4880208
21.02.2020;406.3213542
07.01.2020;426.1380208
22.01.2020;429.3213542
05.02.2020;459.1546875
20.02.2020;462.3380208
06.02.2020;474.4213542
17.02.2020;479.9213542
31.12.2019;485.0880208
05.01.2020;500.6713542
17.01.2020;505.6713542
30.01.2020;506.3213542
30.01.2020;509.0713542
17.03.2020;509.7213542
18.03.2020;512.4713542
26.03.2020;513.1213542
01.04.2020;515.8713542
17.07.2020;516.5213542
27.07.2020;519.2713542
06.10.2020;519.9213542
08.10.2020;522.6713542
25.11.2020;523.2546875
27.11.2020;525.6713542
28.02.2020;527.5046875
22.01.2020;527.5513542
23.01.2020;528.4680208
28.01.2020;530.7180208
02.03.2020;531.9430208
04.03.2020;536.3805208
16.03.2020;537.6055208
20.03.2020;542.0430208
19.10.2020;542.0430208
04.01.2021;542.0430208
30.04.2020;542.9930208
19.05.2020;543.1330208
29.04.2020;543.7330208
23.01.2020;543.7796875
24.01.2020;544.6963542
08.01.2020;544.8130208
09.01.2020;546.3546875
23.01.2020;549.8546875
16.01.2020;549.9246875
21.01.2020;550.9746875
21.01.2020;552.2741875
04.02.2020;552.5091542
07.02.2020;553.1769875
08.01.2020;555.4269875
06.02.2020;555.9703208
21.01.2020;563.0703208
14.01.2020;568.2953208
31.03.2020;571.6453208
03.02.2020;576.5453208
11.02.2020;582.2953208
03.02.2020;583.6203208
20.01.2020;584.9453208
22.01.2020;586.2703208
14.01.2020;587.5953208
14.01.2020;594.8453208
17.01.2020;595.1953208
21.01.2020;598.4453208
15.01.2020;605.1953208
28.01.2020;606.3369875
06.02.2020;611.0036542
18.03.2020;613.9786542
14.02.2020;622.8119875
18.03.2020;623.8119875
26.03.2020;626.5619875
27.02.2020;626.8819875
27.02.2020;627.9819875
20.04.2020;628.1486542
29.04.2020;629.0236542
27.02.2020;629.4903208
28.02.2020;630.3236542
15.04.2020;630.7903208
16.04.2020;631.6236542
17.06.2020;632.0903208
24.06.2020;632.9236542
01.09.2020;633.3903208
10.09.2020;634.2236542
08.10.2020;634.6903208
09.10.2020;635.5236542
24.03.2020;636.3236542
31.03.2020;639.0736542
28.04.2020;639.8736542
29.04.2020;642.6236542
07.09.2020;643.4236542
05.10.2020;646.1736542
06.04.2020;646.4069875
16.04.2020;647.0736542
12.05.2020;647.8736542
30.04.2020;650.6236542
24.04.2020;650.8569875
27.04.2020;651.5236542
27.08.2020;651.7569875
17.09.2020;652.4236542
15.10.2020;652.6569875
20.10.2020;653.3236542
25.03.2021;654.1236542
08.04.2021;656.8736542
25.03.2021;657.1069875
08.04.2021;657.7736542
10.02.2020;661.1486542
23.03.2020;664.1903208
31.03.2020;667.5653208
17.04.2020;669.1653208
08.10.2020;670.3253208
07.02.2020;674.9919875
